"Local_Electoral_Area_Number","Candidate_Id","Firstname","Surname","Outgoing_Member","Party_Id","Party_Name","Photo_URL"
" 363"," 250","ANTHONY","LAVIN",1," 4","Fine Gael","FL_363_250.jpg"
" 363"," 251","BRIAN","MC DONAGH",0," 8","The Labour Party","FL_363_251.jpg"
" 363"," 252","DAIRE","NÍ LAOI",0," 9","Sinn Fein","FL_363_252.jpg"
" 363"," 253","EOGHAN","O'BRIEN",1," 3","Fianna Fail","FL_363_253.jpg"
" 363"," 254","CIAN","O'CALLAGHAN",1," 10","Non-Party","FL_363_254.jpg"
" 363"," 255","DAVID","O'CONNOR",0," 10","Non-Party","FL_363_255.jpg"
" 363"," 256","MARIE","O'TOOLE",0," 4","Fine Gael","FL_363_256.jpg"
" 363"," 257","KEITH","REDMOND",0," 4","Fine Gael","FL_363_257.jpg"
" 363"," 258","LECH","SZCZECINSKI",0," 10","Non-Party","FL_363_258.jpg"
" 363"," 259","AILEEN","WOODS",0," 3","Fianna Fail","FL_363_259.jpg"
" 292"," 161","DERMOT","CASEY",0," 10","Non-Party","FL_292_161.jpg"
" 292"," 163","JACK","CHAMBERS",0," 3","Fianna Fail","FL_292_163.jpg"
" 292"," 164","T.J.","CLARE",0," 10","Non-Party","FL_292_164.jpg"
" 292"," 166","SANDRA","KAVANAGH",0," 25",,"FL_292_166.jpg"
" 292"," 167","JOHN","KIDD",0," 10","Non-Party","FL_292_167.jpg"
" 292"," 168","TED","LEDDY",0," 4","Fine Gael","FL_292_168.jpg"
" 292"," 169","EITHNE","LOFTUS",1," 4","Fine Gael","FL_292_169.jpg"
" 292"," 170","ROBERT","LONG",0," 18",,"FL_292_170.jpg"
" 292"," 171","SEAN","LYONS",0," 11","No Entry","FL_292_171.jpg"
" 292"," 172","EDWARD","MAC MANUS",0," 3","Fianna Fail","FL_292_172.jpg"
" 292"," 173","MARY","MARTIN",0," 10","Non-Party","FL_292_173.jpg"
" 292"," 174","HENRY","MINOGUE",0," 4","Fine Gael","FL_292_174.jpg"
" 292"," 175","MAGS","MURRAY",1," 3","Fianna Fail","FL_292_175.jpg"
" 292"," 176","RODERIC","O'GORMAN",0," 5","Green Party - Comhaontas Glas","FL_292_176.jpg"
" 292"," 177","NATALIE","TREACY",0," 9","Sinn Fein","FL_292_177.jpg"
" 292"," 178","MEMET","ULUDAG",0," 20",,"FL_292_178.jpg"
" 292"," 179","MATT","WAINE",1," 25",,"FL_292_179.jpg"
" 292"," 180","JOHN","WALSH",1," 8","The Labour Party","FL_292_180.jpg"
" 414"," 181","LOUISE","BAYLISS",0," 20",,"FL_414_181.jpg"
" 414"," 182","DERMOT","CASEY",0," 10","Non-Party","FL_414_182.jpg"
" 414"," 183","FREDDIE","COOPER",0," 10","Non-Party","FL_414_183.jpg"
" 414"," 184","RUTH","COPPINGER",1," 25",,"FL_414_184.jpg"
" 414"," 185","KIERAN","DENNISON",1," 4","Fine Gael","FL_414_185.jpg"
" 414"," 186","PAUL","DONNELLY",0," 9","Sinn Fein","FL_414_186.jpg"
" 414"," 187","ANNETTE","HUGHES",0," 25",,"FL_414_187.jpg"
" 414"," 188","JIMMY","KEENAN",0," 25",,"FL_414_188.jpg"
" 414"," 189","EDMOND","LUKUSA",0," 9","Sinn Fein","FL_414_189.jpg"
" 414"," 190","MARY","MC CAMLEY",1," 8","The Labour Party","FL_414_190.jpg"
" 414"," 191","MARIA","MC GRAIL",0," 4","Fine Gael","FL_414_191.jpg"
" 414"," 192","DAVID","MC GUINNESS",1," 3","Fianna Fail","FL_414_192.jpg"
" 414"," 193","LORNA","NOLAN",0," 10","Non-Party","FL_414_193.jpg"
" 414"," 194","PHILIP","O'CALLAGHAN",0," 4","Fine Gael","FL_414_194.jpg"
" 414"," 195","MICHAEL","O'DONOVAN",1," 8","The Labour Party","FL_414_195.jpg"
" 414"," 196","MARGARET","RICHARDSON",0," 3","Fianna Fail","FL_414_196.jpg"
" 414"," 197","BERNADETTE","RYNNE",0," 25",,"FL_414_197.jpg"
" 232"," 198","CATHAL","BOLAND",0," 10","Non-Party","FL_232_198.jpg"
" 232"," 199","J. P.","BROWNE",0," 4","Fine Gael","FL_232_199.jpg"
" 232"," 200","CIARAN","BYRNE",1," 8","The Labour Party","FL_232_200.jpg"
" 232"," 201","RICHARD","DAVIS",0," 10","Non-Party","FL_232_201.jpg"
" 232"," 202","BRIAN","DENNEHY",0," 3","Fianna Fail","FL_232_202.jpg"
" 232"," 203","KEN","FARRELL",1," 8","The Labour Party","FL_232_203.jpg"
" 232"," 204","JEAN ","FAY BRADY",0," 4","Fine Gael","FL_232_204.jpg"
" 232"," 205","NIALL","KEADY",0," 10","Non-Party","FL_232_205.jpg"
" 232"," 206","TERRY","KELLEHER",0," 25",,"FL_232_206.jpg"
" 232"," 207","GRÁINNE","MAGUIRE",1," 10","Non-Party","FL_232_207.jpg"
" 232"," 208","BARRY","MARTIN",0," 20",,"FL_232_208.jpg"
" 232"," 209","JANETTE","MC NAMARA",0," 4","Fine Gael","FL_232_209.jpg"
" 232"," 210","DARRELL","MOONEY",0," 3","Fianna Fail","FL_232_210.jpg"
" 232"," 211","GARRETT","MULLAN",0," 10","Non-Party","FL_232_211.jpg"
" 232"," 212","TONY","MURPHY",0," 10","Non-Party","FL_232_212.jpg"
" 232"," 213","JOE","O'BRIEN",0," 5","Green Party - Comhaontas Glas","FL_232_213.jpg"
" 232"," 214","DAVID JAMES","O'CONNOR",1," 10","Non-Party","FL_232_214.jpg"
" 232"," 215","PEADAR","O'KELLY",0," 8","The Labour Party","FL_232_215.jpg"
" 232"," 216","TOM","O'LEARY",1," 4","Fine Gael","FL_232_216.jpg"
" 232"," 217","DENISE","PARKER",0," 25",,"FL_232_217.jpg"
" 232"," 218","MALACHY","QUINN",0," 9","Sinn Fein","FL_232_218.jpg"
" 232"," 219","FRANK","SNOWE",0," 10","Non-Party","FL_232_219.jpg"
" 232"," 220","MAURICE","SWEENEY",0," 25",,"FL_232_220.jpg"
" 453"," 221","DUANE MICHAEL","BROWNE",0," 10","Non-Party","FL_453_221.jpg"
" 453"," 222","DARRAGH","BUTLER",1," 3","Fianna Fail","FL_453_222.jpg"
" 453"," 223","MICHAEL","COLLINS",0," 10","Non-Party","FL_453_223.jpg"
" 453"," 224","EUGENE","COPPINGER",1," 25",,"FL_453_224.jpg"
" 453"," 225","IAN","CROFT",0," 10","Non-Party","FL_453_225.jpg"
" 453"," 226","ANNE","DEVITT",1," 10","Non-Party","FL_453_226.jpg"
" 453"," 227","BOB","DOWLING",0," 4","Fine Gael","FL_453_227.jpg"
" 453"," 228","KEN","DOYLE",0," 26",,"FL_453_228.jpg"
" 453"," 229","KEN","DUFFY",0," 5","Green Party - Comhaontas Glas","FL_453_229.jpg"
" 453"," 230","ADRIAN","HENCHY",0," 3","Fianna Fail","FL_453_230.jpg"
" 453"," 231","JOHN","HENNESSY",0," 3","Fianna Fail","FL_453_231.jpg"
" 453"," 232","TOM","KELLEHER",1," 8","The Labour Party","FL_453_232.jpg"
" 453"," 233","PHILIP","LYNAM",0," 9","Sinn Fein","FL_453_233.jpg"
" 453"," 234","DECLAN","MC COOL",0," 26",,"FL_453_234.jpg"
" 453"," 235","GERRY ","MC GUIRE",1," 8","The Labour Party","FL_453_235.jpg"
" 453"," 236","ANTHONY","MOORE",0," 10","Non-Party","FL_453_236.jpg"
" 453"," 237","PAUL","MULVILLE",0," 10","Non-Party","FL_453_237.jpg"
" 453"," 238","JOE","NEWMAN",0," 10","Non-Party","FL_453_238.jpg"
" 453"," 239","TONY","O'BYRNE",0," 10","Non-Party","FL_453_239.jpg"
" 453"," 240","FERGAL","O'CONNELL",0," 10","Non-Party","FL_453_240.jpg"
" 453"," 241","JOSEPH","O'NEILL",0," 10","Non-Party","FL_453_241.jpg"
" 453"," 242","MARK","SAVAGE",0," 10","Non-Party","FL_453_242.jpg"
" 453"," 243","DIANNE","SEXTON",0," 4","Fine Gael","FL_453_243.jpg"
" 453"," 244","JUSTIN","SINNOTT",0," 10","Non-Party","FL_453_244.jpg"
" 453"," 245","DUNCAN","SMITH",0," 8","The Labour Party","FL_453_245.jpg"
" 453"," 246","LECH","SZCZECINSKI",0," 10","Non-Party","FL_453_246.jpg"
" 363"," 247","JUDY","DUNNE",1," 8","The Labour Party","FL_363_247.jpg"
" 363"," 248","JIMMY","GUERIN",0," 10","Non-Party","FL_363_248.jpg"
" 363"," 249","DAVID","HEALY",0," 5","Green Party - Comhaontas Glas","FL_363_249.jpg"
